year,month,region,rainfall,runoff
2002,May,Victoria Nile,,72.696
2002,Nov.,Kagera,2.322,24.73
2002,Nov.,Lake Victoria,3.87,258.046
2002,Nov.,Simiyu,4.839,28.56
2002,Nov.,Victoria Nile,,80.915
2002,Oct.,Kagera,3.32,26.261
2002,Oct.,Lake Victoria,12.24,186.145
2002,Oct.,Simiyu,0.882,33.261
2002,Oct.,Victoria Nile,,206.751
2002,Sept.,Kagera,1.034,33.388
2002,Sept.,Lake Victoria,5.234,236.119
2002,Sept.,Simiyu,0.47,42.287
2002,Sept.,Victoria Nile,,6.647
2003,April,Kagera,4.336,78.888
2003,April,Lake Victoria,2.304,364.632
2003,April,Simiyu,10.559,778.762
2003,April,Victoria Nile,,5.267
2003,Aug.,Kagera,0.234,2.337
2003,Aug.,Lake Victoria,0.201,355.257
2003,Aug.,Simiyu,0.208,3.093
2003,Aug.,Victoria Nile,,8.185
2003,Dec.,Kagera,1.98,8.108
2003,Dec.,Lake Victoria,1.827,285.812
2003,Dec.,Simiyu,1.517,4.563
2003,Dec.,Victoria Nile,,26.358
2003,Feb.,Kagera,0.207,10.135
2003,Feb.,Lake Victoria,0.124,175.964
2003,Feb.,Simiyu,0.091,13.353
2003,Feb.,Victoria Nile,,0.309
2003,Jan.,Kagera,7.727,191.348
2003,Jan.,Lake Victoria,6.092,1344.156
2003,Jan.,Simiyu,1.55,234.731
2003,Jan.,Victoria Nile,,1.203
2003,July,Kagera,0.19,2.971
2003,July,Lake Victoria,3.155,580.621
2003,July,Simiyu,0.553,3.83
2003,July,Victoria Nile,,40.381
2003,June,Kagera,2.262,3.814
2003,June,Lake Victoria,6.615,552.531
2003,June,Simiyu,0.034,5.008
2003,June,Victoria Nile,,133.53
2003,March,Kagera,2.288,9.444
2003,March,Lake Victoria,1.886,148.024
2003,March,Simiyu,4.11,13.725
2003,March,Victoria Nile,,0.332
2003,May,Kagera,9.235,1984.795
2003,May,Lake Victoria,17.843,5488.226
2003,May,Simiyu,16.406,1114.898
2003,May,Victoria Nile,,98.161
2003,Nov.,Kagera,5.169,1.198
2003,Nov.,Lake Victoria,5.152,206.383
2003,Nov.,Simiyu,7.707,1.487
2003,Nov.,Victoria Nile,,10.116
2003,Oct.,Kagera,1.329,1.418
2003,Oct.,Lake Victoria,1.486,217.749
2003,Oct.,Simiyu,0.416,1.849
2003,Oct.,Victoria Nile,,0.318
2003,Sept.,Kagera,1.375,1.84
2003,Sept.,Lake Victoria,0.667,288.152
2003,Sept.,Simiyu,0.102,2.338
2003,Sept.,Victoria Nile,,113.818
2004,April,Kagera,3.386,473.562
2004,April,Lake Victoria,3.856,536.638
2004,April,Simiyu,7.012,422.514
2004,April,Victoria Nile,,5.507
2004,Aug.,Kagera,1.097,0.124
2004,Aug.,Lake Victoria,5.424,212.685
2004,Aug.,Simiyu,0.395,0.16
2004,Aug.,Victoria Nile,,151.319
2004,Dec.,Kagera,1.99,1.229
2004,Dec.,Lake Victoria,5.853,206.344
2004,Dec.,Simiyu,8.113,31.87
2004,Dec.,Victoria Nile,,0.095
2004,Feb.,Kagera,7.162,21.984
2004,Feb.,Lake Victoria,6.107,107.408
2004,Feb.,Simiyu,1.386,1.176
2004,Feb.,Victoria Nile,,0.017
2004,Jan.,Kagera,1.912,2.204
2004,Jan.,Lake Victoria,1.413,114.279
2004,Jan.,Simiyu,6.224,6.264
2004,Jan.,Victoria Nile,,0.028
2004,July,Kagera,0.107,0.158
2004,July,Lake Victoria,0.13,256.796
2004,July,Simiyu,0.157,0.205
2004,July,Victoria Nile,,0.271
2004,June,Kagera,0.454,0.201
2004,June,Lake Victoria,0.275,405.413
2004,June,Simiyu,0.111,0.605
2004,June,Victoria Nile,,5.101
2004,March,Kagera,10.909,710.557
2004,March,Lake Victoria,5.996,145.405
2004,March,Simiyu,0.816,2.883
2004,March,Victoria Nile,,0.013
2004,May,Kagera,2.86,164.611
2004,May,Lake Victoria,14.348,4628.086
2004,May,Simiyu,0.874,0.529
2004,May,Victoria Nile,,348.799
2004,Nov.,Kagera,2.859,2.377
2004,Nov.,Lake Victoria,4.211,476.42
2004,Nov.,Simiyu,0.064,6.527
2004,Nov.,Victoria Nile,,196.213
2004,Oct.,Kagera,1.445,0.11
2004,Oct.,Lake Victoria,2.524,353.128
2004,Oct.,Simiyu,0.386,0.157
2004,Oct.,Victoria Nile,,278.252
2004,Sept.,Kagera,1.846,0.101
2004,Sept.,Lake Victoria,3.391,163.45
2004,Sept.,Simiyu,4.387,0.125
2004,Sept.,Victoria Nile,,4.853
2005,April,Kagera,0.247,103.005
2005,April,Lake Victoria,0.284,154.614
2005,April,Simiyu,0.235,9.437
2005,April,Victoria Nile,,0.265
2005,Aug.,Kagera,0.085,0.324
2005,Aug.,Lake Victoria,0.805,275.394
2005,Aug.,Simiyu,0.031,0.517
2005,Aug.,Victoria Nile,,21.936
2005,Dec.,Kagera,1.753,0.003
2005,Dec.,Lake Victoria,5.22,94.357
2005,Dec.,Simiyu,2.134,0.196
2005,Dec.,Victoria Nile,,0.002
2005,Feb.,Kagera,5.139,40.294
2005,Feb.,Lake Victoria,7.219,263.036
2005,Feb.,Simiyu,2.96,156.785
2005,Feb.,Victoria Nile,,0.001
2005,Jan.,Kagera,0.642,17.418
2005,Jan.,Lake Victoria,0.166,273.431
2005,Jan.,Simiyu,0.982,201.268
2005,Jan.,Victoria Nile,,0.001
2005,July,Kagera,0.4,0.009
2005,July,Lake Victoria,4.943,312.984
2005,July,Simiyu,0.124,0.662
2005,July,Victoria Nile,,0.305
2005,June,Kagera,0.277,54.867
2005,June,Lake Victoria,0.414,612.442
2005,June,Simiyu,0.053,158.413
2005,June,Victoria Nile,,84.841
2005,March,Kagera,1.898,25.888
2005,March,Lake Victoria,2.646,517.948
2005,March,Simiyu,1.173,74.217
2005,March,Victoria Nile,,0.461
2005,May,Kagera,6.104,719.523
2005,May,Lake Victoria,11.189,2845.187
2005,May,Simiyu,6.626,571.612
2005,May,Victoria Nile,,608.244
2005,Nov.,Kagera,2.133,0.003
2005,Nov.,Lake Victoria,4.759,117.135
2005,Nov.,Simiyu,1.218,0.248
2005,Nov.,Victoria Nile,,63.766
2005,Oct.,Kagera,0.43,0.467
2005,Oct.,Lake Victoria,4.241,152.065
2005,Oct.,Simiyu,0.4,0.317
2005,Oct.,Victoria Nile,,25.44
2005,Sept.,Kagera,0.158,0.031
2005,Sept.,Lake Victoria,1.88,175.451
2005,Sept.,Simiyu,0.226,0.403
2005,Sept.,Victoria Nile,,4.945
2006,April,Kagera,2.698,127.58
2006,April,Lake Victoria,5.523,237.903
2006,April,Simiyu,1.467,20.054
2006,April,Victoria Nile,,10.916
2006,Aug.,Kagera,0.331,12.444
2006,Aug.,Lake Victoria,2.2,320.252
2006,Aug.,Simiyu,0.751,0.047
2006,Aug.,Victoria Nile,,12.396
2006,Dec.,Kagera,1.976,223.526
2006,Dec.,Lake Victoria,6.963,1454.517
2006,Dec.,Simiyu,7.588,509.102
2006,Dec.,Victoria Nile,,167.039
2006,Feb.,Kagera,1.432,0.002
2006,Feb.,Lake Victoria,2.824,54.172
2006,Feb.,Simiyu,1.389,0.123
2006,Feb.,Victoria Nile,,0.0
2006,Jan.,Kagera,3.01,0.004
2006,Jan.,Lake Victoria,0.715,67.077
2006,Jan.,Simiyu,0.09,0.159
2006,Jan.,Victoria Nile,,0.0
2006,July,Kagera,0.055,15.852
2006,July,Lake Victoria,0.413,404.299
2006,July,Simiyu,0.196,0.036
2006,July,Victoria Nile,,0.328
2006,June,Kagera,0.022,20.149
2006,June,Lake Victoria,2.054,690.305
2006,June,Simiyu,0.102,0.046
2006,June,Victoria Nile,,0.636
2006,March,Kagera,4.493,9.458
2006,March,Lake Victoria,4.714,233.57
2006,March,Simiyu,9.776,64.423
2006,March,Victoria Nile,,0.161
2006,May,Kagera,3.827,139.92
2006,May,Lake Victoria,7.193,578.209
2006,May,Simiyu,3.621,8.317
2006,May,Victoria Nile,,116.114
2006,Nov.,Kagera,10.331,350.015
2006,Nov.,Lake Victoria,11.107,1819.608
2006,Nov.,Simiyu,3.905,3.7
2006,Nov.,Victoria Nile,,183.878
2006,Oct.,Kagera,2.309,7.725
2006,Oct.,Lake Victoria,8.154,433.387
2006,Oct.,Simiyu,0.168,0.017
2006,Oct.,Victoria Nile,,61.601
2006,Sept.,Kagera,0.492,9.694
2006,Sept.,Lake Victoria,0.675,375.822
2006,Sept.,Simiyu,0.347,0.022
2006,Sept.,Victoria Nile,,71.941
2007,April,Kagera,0.414,91.045
2007,April,Lake Victoria,0.528,437.471
2007,April,Simiyu,0.512,15.316
2007,April,Victoria Nile,,17.79
2007,Aug.,Kagera,0.214,15.593
2007,Aug.,Lake Victoria,6.141,1352.084
2007,Aug.,Simiyu,0.706,7.022
2007,Aug.,Victoria Nile,,377.992
2007,Dec.,Kagera,0.908,1.633
2007,Dec.,Lake Victoria,0.375,189.937
2007,Dec.,Simiyu,0.428,2.315
2007,Dec.,Victoria Nile,,2.423
2007,Feb.,Kagera,4.596,111.663
2007,Feb.,Lake Victoria,3.246,894.134
2007,Feb.,Simiyu,2.843,131.043
2007,Feb.,Victoria Nile,,26.89
2007,Jan.,Kagera,0.452,193.842
2007,Jan.,Lake Victoria,1.967,979.534
2007,Jan.,Simiyu,2.867,102.887
2007,Jan.,Victoria Nile,,34.203
2007,July,Kagera,0.75,1.533
2007,July,Lake Victoria,1.037,568.233
2007,July,Simiyu,0.386,6.247
2007,July,Victoria Nile,,9.473
2007,June,Kagera,5.142,136.67
2007,June,Lake Victoria,13.67,4596.516
2007,June,Simiyu,8.403,52.88
2007,June,Victoria Nile,,100.6
2007,March,Kagera,1.735,59.733
2007,March,Lake Victoria,2.843,545.109
2007,March,Simiyu,5.341,34.379
2007,March,Victoria Nile,,21.372
2007,May,Kagera,0.49,109.56
2007,May,Lake Victoria,4.509,499.979
2007,May,Simiyu,0.127,10.33
2007,May,Victoria Nile,,30.064
2007,Nov.,Kagera,2.364,1.21
2007,Nov.,Lake Victoria,3.637,239.409
2007,Nov.,Simiyu,2.171,2.252
2007,Nov.,Victoria Nile,,4.438
2007,Oct.,Kagera,6.146,1.281
2007,Oct.,Lake Victoria,15.029,710.612
2007,Oct.,Simiyu,0.999,2.858
2007,Oct.,Victoria Nile,,113.544
2007,Sept.,Kagera,3.975,1.748
2007,Sept.,Lake Victoria,8.004,512.271
2007,Sept.,Simiyu,1.577,3.633
2007,Sept.,Victoria Nile,,256.87
2008,April,Kagera,2.188,440.895
2008,April,Lake Victoria,0.436,414.644
2008,April,Simiyu,0.126,64.768
2008,April,Victoria Nile,,86.826
2008,Aug.,Kagera,0.579,0.062
2008,Aug.,Lake Victoria,3.812,344.405
2008,Aug.,Simiyu,0.199,0.249
2008,Aug.,Victoria Nile,,66.282
2008,Dec.,Kagera,0.393,0.074
2008,Dec.,Lake Victoria,2.441,447.077
2008,Dec.,Simiyu,1.997,111.263
2008,Dec.,Victoria Nile,,80.838
2008,Feb.,Kagera,0.113,4.191
2008,Feb.,Lake Victoria,0.634,140.957
2008,Feb.,Simiyu,0.933,11.801
2008,Feb.,Victoria Nile,,1.445
2008,Jan.,Kagera,0.636,1.302
2008,Jan.,Lake Victoria,0.509,150.322
2008,Jan.,Simiyu,0.902,1.606
2008,Jan.,Victoria Nile,,1.845
2008,July,Kagera,0.034,0.092
2008,July,Lake Victoria,0.309,284.924
2008,July,Simiyu,0.026,0.319
2008,July,Victoria Nile,,0.833
2008,June,Kagera,1.524,0.212
2008,June,Lake Victoria,2.98,385.838
2008,June,Simiyu,0.933,0.411
2008,June,Victoria Nile,,50.04
2008,March,Kagera,3.804,15.517
2008,March,Lake Victoria,1.548,103.402
2008,March,Simiyu,5.751,7.848
2008,March,Victoria Nile,,2.496
2008,May,Kagera,2.265,2.557
2008,May,Lake Victoria,4.913,353.6
2008,May,Simiyu,0.25,0.547
2008,May,Victoria Nile,,0.823
2008,Nov.,Kagera,2.009,1.645
2008,Nov.,Lake Victoria,2.99,278.419
2008,Nov.,Simiyu,0.844,1.71
2008,Nov.,Victoria Nile,,167.183
2008,Oct.,Kagera,0.696,0.068
2008,Oct.,Lake Victoria,8.543,334.566
2008,Oct.,Simiyu,8.324,0.155
2008,Oct.,Victoria Nile,,84.005
2008,Sept.,Kagera,1.664,0.055
2008,Sept.,Lake Victoria,6.356,296.885
2008,Sept.,Simiyu,1.282,0.194
2008,Sept.,Victoria Nile,,104.639
2009,April,Kagera,1.379,276.896
2009,April,Lake Victoria,9.067,1667.387
2009,April,Simiyu,4.989,311.192
2009,April,Victoria Nile,,53.481
2009,Aug.,Kagera,0.103,0.007
2009,Aug.,Lake Victoria,1.475,298.526
2009,Aug.,Simiyu,0.389,0.013
2009,Aug.,Victoria Nile,,12.56
2009,Dec.,Kagera,2.267,40.664
2009,Dec.,Lake Victoria,3.546,201.46
2009,Dec.,Simiyu,0.351,3.531
2009,Dec.,Victoria Nile,,13.044
2009,Feb.,Kagera,2.88,35.266
2009,Feb.,Lake Victoria,3.091,372.064
2009,Feb.,Simiyu,3.394,67.145
2009,Feb.,Victoria Nile,,49.246
2009,Jan.,Kagera,1.256,0.925
2009,Jan.,Lake Victoria,1.166,322.878
2009,Jan.,Simiyu,2.483,23.075
2009,Jan.,Victoria Nile,,63.096
2009,July,Kagera,0.17,0.004
2009,July,Lake Victoria,3.955,693.472
2009,July,Simiyu,0.169,0.306
2009,July,Victoria Nile,,43.999
2009,June,Kagera,2.944,3.124
2009,June,Lake Victoria,6.643,1532.576
2009,June,Simiyu,5.703,40.95
2009,June,Victoria Nile,,19.396
2009,March,Kagera,2.605,25.784
2009,March,Lake Victoria,12.229,254.392
2009,March,Simiyu,11.208,28.885
2009,March,Victoria Nile,,39.349
2009,May,Kagera,3.346,99.066
2009,May,Lake Victoria,18.085,5411.223
2009,May,Simiyu,3.481,109.962
2009,May,Victoria Nile,,74.149
2009,Nov.,Kagera,5.497,0.874
2009,Nov.,Lake Victoria,3.574,247.742
2009,Nov.,Simiyu,1.341,0.39
2009,Nov.,Victoria Nile,,9.74
2009,Oct.,Kagera,1.358,0.002
2009,Oct.,Lake Victoria,1.167,183.78
2009,Oct.,Simiyu,0.032,0.008
2009,Oct.,Victoria Nile,,41.614
2009,Sept.,Kagera,0.849,0.003
2009,Sept.,Lake Victoria,1.039,233.944
2009,Sept.,Simiyu,0.116,0.01
2009,Sept.,Victoria Nile,,9.284
2010,April,Kagera,5.85,1333.626
2010,April,Lake Victoria,11.599,3310.798
2010,April,Simiyu,4.675,567.745
2010,April,Victoria Nile,,208.382
2010,Aug.,Kagera,0.2,36.615
2010,Aug.,Lake Victoria,1.673,463.178
2010,Aug.,Simiyu,0.038,0.001
2010,Aug.,Victoria Nile,,33.63
2010,Dec.,Kagera,1.686,83.937
2010,Dec.,Lake Victoria,4.601,237.326
2010,Dec.,Simiyu,6.08,0.207
2010,Dec.,Victoria Nile,,4.655
2010,Feb.,Kagera,0.148,4.865
2010,Feb.,Lake Victoria,0.279,196.759
2010,Feb.,Simiyu,0.116,1.374
2010,Feb.,Victoria Nile,,3.243
2010,Jan.,Kagera,9.289,920.382
2010,Jan.,Lake Victoria,15.081,4180.696
2010,Jan.,Simiyu,10.175,1141.776
2010,Jan.,Victoria Nile,,320.747
2010,July,Kagera,0.153,46.921
2010,July,Lake Victoria,2.276,491.27
2010,July,Simiyu,0.154,0.001
2010,July,Victoria Nile,,1.791
2010,June,Kagera,0.263,59.653
2010,June,Lake Victoria,1.012,616.145
2010,June,Simiyu,0.258,0.031
2010,June,Victoria Nile,,1.244
2010,March,Kagera,5.614,1134.053
2010,March,Lake Victoria,13.662,3615.21
2010,March,Simiyu,0.958,183.169
2010,March,Victoria Nile,,133.432
2010,May,Kagera,8.852,3027.686
2010,May,Lake Victoria,10.518,3275.131
2010,May,Simiyu,1.857,0.661
2010,May,Victoria Nile,,1083.105
2010,Nov.,Kagera,1.943,24.048
2010,Nov.,Lake Victoria,4.69,200.816
2010,Nov.,Simiyu,1.522,0.0
2010,Nov.,Victoria Nile,,23.341
2010,Oct.,Kagera,0.311,22.667
2010,Oct.,Lake Victoria,2.294,239.886
2010,Oct.,Simiyu,0.21,0.004
2010,Oct.,Victoria Nile,,8.487
2010,Sept.,Kagera,0.333,28.575
2010,Sept.,Lake Victoria,2.806,347.372
2010,Sept.,Simiyu,0.906,0.001
2010,Sept.,Victoria Nile,,151.184
2011,April,Kagera,5.909,968.042
2011,April,Lake Victoria,7.266,1847.278
2011,April,Simiyu,3.761,184.712
2011,April,Victoria Nile,,3.368
2011,Aug.,Kagera,0.21,2.021
2011,Aug.,Lake Victoria,2.667,452.395
2011,Aug.,Simiyu,0.154,0.0
2011,Aug.,Victoria Nile,,102.448
2011,Dec.,Kagera,1.613,467.837
2011,Dec.,Lake Victoria,4.398,1681.41
2011,Dec.,Simiyu,7.123,859.141
2011,Dec.,Victoria Nile,,240.057
2011,Feb.,Kagera,5.952,23.918
2011,Feb.,Lake Victoria,13.321,166.521
2011,Feb.,Simiyu,7.126,10.27
2011,Feb.,Victoria Nile,,2.81
2011,Jan.,Kagera,1.788,38.479
2011,Jan.,Lake Victoria,2.047,214.773
2011,Jan.,Simiyu,0.283,7.69
2011,Jan.,Victoria Nile,,3.66
2011,July,Kagera,0.14,30.39
2011,July,Lake Victoria,3.773,532.411
2011,July,Simiyu,0.104,0.3
2011,July,Victoria Nile,,35.342
2011,June,Kagera,0.109,3.579
2011,June,Lake Victoria,2.128,456.878
2011,June,Simiyu,0.25,0.013
2011,June,Victoria Nile,,27.167
2011,March,Kagera,0.567,8.752
2011,March,Lake Victoria,0.327,75.964
2011,March,Simiyu,0.194,0.653
2011,March,Victoria Nile,,2.3
2011,May,Kagera,3.575,301.982
2011,May,Lake Victoria,10.1,2738.749
2011,May,Simiyu,7.831,38.153
2011,May,Victoria Nile,,633.195
2011,Nov.,Kagera,0.841,35.812
2011,Nov.,Lake Victoria,3.476,527.235
2011,Nov.,Simiyu,0.392,1.641
2011,Nov.,Victoria Nile,,1380.494
2011,Oct.,Kagera,4.344,11.39
2011,Oct.,Lake Victoria,6.844,549.508
2011,Oct.,Simiyu,12.61,13.962
2011,Oct.,Victoria Nile,,245.141
2011,Sept.,Kagera,3.993,2.721
2011,Sept.,Lake Victoria,6.127,532.012
2011,Sept.,Simiyu,0.109,0.0
2011,Sept.,Victoria Nile,,1812.792
2012,April,Kagera,3.387,328.52
2012,April,Lake Victoria,9.41,1030.109
2012,April,Simiyu,3.437,18.388
2012,April,Victoria Nile,,94.034
2012,Aug.,Kagera,0.143,0.123
2012,Aug.,Lake Victoria,5.263,528.824
2012,Aug.,Simiyu,0.784,15.597
2012,Aug.,Victoria Nile,,68.854
2012,Dec.,Kagera,0.383,41.155
2012,Dec.,Lake Victoria,0.143,649.437
2012,Dec.,Simiyu,0.191,43.436
2012,Dec.,Victoria Nile,,68.965
2012,Feb.,Kagera,0.174,0.785
2012,Feb.,Lake Victoria,0.241,467.915
2012,Feb.,Simiyu,0.061,0.298
2012,Feb.,Victoria Nile,,117.216
2012,Jan.,Kagera,0.458,0.585
2012,Jan.,Lake Victoria,0.23,599.497
2012,Jan.,Simiyu,0.327,0.005
2012,Jan.,Victoria Nile,,150.174
2012,July,Kagera,0.142,0.143
2012,July,Lake Victoria,2.934,752.257
2012,July,Simiyu,0.156,20.292
2012,July,Victoria Nile,,38.419
2012,June,Kagera,0.197,0.203
2012,June,Lake Victoria,1.892,701.995
2012,June,Simiyu,0.244,25.712
2012,June,Victoria Nile,,45.009
2012,March,Kagera,12.006,1217.688
2012,March,Lake Victoria,11.011,885.841
2012,March,Simiyu,6.533,362.728
2012,March,Victoria Nile,,92.926
2012,May,Kagera,3.626,128.743
2012,May,Lake Victoria,8.065,2414.359
2012,May,Simiyu,7.782,594.783
2012,May,Victoria Nile,,159.994
2012,Nov.,Kagera,8.968,247.463
2012,Nov.,Lake Victoria,15.818,4935.878
2012,Nov.,Simiyu,5.788,154.622
2012,Nov.,Victoria Nile,,3359.848
2012,Oct.,Kagera,0.802,0.08
2012,Oct.,Lake Victoria,1.737,318.49
2012,Oct.,Simiyu,0.151,9.717
2012,Oct.,Victoria Nile,,100.516
2012,Sept.,Kagera,1.365,4.284
2012,Sept.,Lake Victoria,3.322,519.32
2012,Sept.,Simiyu,0.42,12.17
2012,Sept.,Victoria Nile,,469.556
2013,April,Kagera,1.101,411.906
2013,April,Lake Victoria,6.945,2998.293
2013,April,Simiyu,6.278,584.825
2013,April,Victoria Nile,,355.634
2013,Aug.,Kagera,0.226,0.006
2013,Aug.,Lake Victoria,2.251,526.989
2013,Aug.,Simiyu,0.043,5.488
2013,Aug.,Victoria Nile,,59.3
2013,Dec.,Kagera,1.066,0.629
2013,Dec.,Lake Victoria,2.172,201.509
2013,Dec.,Simiyu,3.155,15.007
2013,Dec.,Victoria Nile,,0.598
2013,Feb.,Kagera,3.807,30.344
2013,Feb.,Lake Victoria,20.059,3789.189
2013,Feb.,Simiyu,6.05,38.922
2013,Feb.,Victoria Nile,,10.806
2013,Jan.,Kagera,2.435,23.919
2013,Jan.,Lake Victoria,0.632,668.83
2013,Jan.,Simiyu,4.071,157.581
2013,Jan.,Victoria Nile,,8.045
2013,July,Kagera,0.255,0.007
2013,July,Lake Victoria,2.387,536.897
2013,July,Simiyu,0.262,7.033
2013,July,Victoria Nile,,4.649
2013,June,Kagera,0.934,0.009
2013,June,Lake Victoria,1.238,682.525
2013,June,Simiyu,0.082,8.941
2013,June,Victoria Nile,,2.443
2013,March,Kagera,0.34,1.901
2013,March,Lake Victoria,0.207,318.694
2013,March,Simiyu,0.221,3.881
2013,March,Victoria Nile,,5.85
2013,May,Kagera,5.533,730.107
2013,May,Lake Victoria,10.836,3586.94
2013,May,Simiyu,0.451,11.723
2013,May,Victoria Nile,,907.13
2013,Nov.,Kagera,2.763,0.215
2013,Nov.,Lake Victoria,1.473,242.589
2013,Nov.,Simiyu,1.525,2.763
2013,Nov.,Victoria Nile,,73.807
2013,Oct.,Kagera,1.495,0.003
2013,Oct.,Lake Victoria,3.029,710.03
2013,Oct.,Simiyu,3.263,3.369
2013,Oct.,Victoria Nile,,293.375
2013,Sept.,Kagera,5.266,0.004
2013,Sept.,Lake Victoria,4.43,383.119
2013,Sept.,Simiyu,5.001,4.283
2013,Sept.,Victoria Nile,,52.722
2014,April,Kagera,16.452,1829.733
2014,April,Lake Victoria,12.133,1312.623
2014,April,Simiyu,3.699,51.097
2014,April,Victoria Nile,,0.247
2014,Aug.,Kagera,0.192,0.15
2014,Aug.,Lake Victoria,1.222,136.006
2014,Aug.,Simiyu,0.113,0.3
2014,Aug.,Victoria Nile,,0.923
2014,Dec.,Kagera,2.913,135.132
2014,Dec.,Lake Victoria,7.665,2313.835
2014,Dec.,Simiyu,10.075,277.052
2014,Dec.,Victoria Nile,,366.44
2014,Feb.,Kagera,3.372,0.184
2014,Feb.,Lake Victoria,1.805,132.014
2014,Feb.,Simiyu,0.504,1.316
2014,Feb.,Victoria Nile,,0.338
2014,Jan.,Kagera,1.243,19.823
2014,Jan.,Lake Victoria,7.851,2233.917
2014,Jan.,Simiyu,2.747,171.957
2014,Jan.,Victoria Nile,,0.433
2014,July,Kagera,0.138,0.0
2014,July,Lake Victoria,0.61,162.593
2014,July,Simiyu,0.143,0.379
2014,July,Victoria Nile,,0.121
2014,June,Kagera,0.388,0.003
2014,June,Lake Victoria,1.837,313.694
2014,June,Simiyu,0.262,0.483
2014,June,Victoria Nile,,0.225
2014,March,Kagera,0.102,3.112
