region,data_type,year,month,value
Kagera,rainfall,2019,Feb.,0.166
Kagera,rainfall,2020,Feb.,7.685
Kagera,rainfall,2021,Feb.,5.514
Kagera,rainfall,2022,Feb.,1.537
Kagera,rainfall,2023,Feb.,4.931
Kagera,rainfall,2024,Feb.,0.121
Kagera,rainfall,2025,Feb.,3.09
Kagera,rainfall,2026,Feb.,0.159
Kagera,rainfall,2027,Feb.,6.386
Kagera,rainfall,2028,Feb.,0.187
Kagera,rainfall,2029,Feb.,4.085
Kagera,rainfall,2030,Feb.,3.618
Kagera,rainfall,2031,Feb.,0.456
Kagera,rainfall,2032,Feb.,0.751
Kagera,rainfall,2033,Feb.,1.59
Kagera,rainfall,2034,Feb.,0.05
Kagera,rainfall,2035,Feb.,0.178
Kagera,rainfall,2000,March,
Kagera,rainfall,2001,March,1.093
Kagera,rainfall,2002,March,3.157
Kagera,rainfall,2003,March,2.288
Kagera,rainfall,2004,March,10.909
Kagera,rainfall,2005,March,1.898
Kagera,rainfall,2006,March,4.493
Kagera,rainfall,2007,March,1.735
Kagera,rainfall,2008,March,3.804
Kagera,rainfall,2009,March,2.605
Kagera,rainfall,2010,March,5.614
Kagera,rainfall,2011,March,0.567
Kagera,rainfall,2012,March,12.006
Kagera,rainfall,2013,March,0.34
Kagera,rainfall,2014,March,0.102
Kagera,rainfall,2015,March,0.833
Kagera,rainfall,2016,March,0.797
Kagera,rainfall,2017,March,4.145
Kagera,rainfall,2018,March,5.688
Kagera,rainfall,2019,March,0.569
Kagera,rainfall,2020,March,11.536
Kagera,rainfall,2021,March,2.007
Kagera,rainfall,2022,March,4.752
Kagera,rainfall,2023,March,1.835
Kagera,rainfall,2024,March,4.022
Kagera,rainfall,2025,March,2.755
Kagera,rainfall,2026,March,5.936
Kagera,rainfall,2027,March,0.599
Kagera,rainfall,2028,March,12.696
Kagera,rainfall,2029,March,0.359
Kagera,rainfall,2030,March,0.108
Kagera,rainfall,2031,March,0.881
Kagera,rainfall,2032,March,0.843
Kagera,rainfall,2033,March,4.383
Kagera,rainfall,2034,March,6.015
Kagera,rainfall,2035,March,0.602
Kagera,rainfall,2000,April,
Kagera,rainfall,2001,April,6.323
Kagera,rainfall,2002,April,6.455
Kagera,rainfall,2003,April,4.336
Kagera,rainfall,2004,April,3.386
Kagera,rainfall,2005,April,0.247
Kagera,rainfall,2006,April,2.698
Kagera,rainfall,2007,April,0.414
Kagera,rainfall,2008,April,2.188
Kagera,rainfall,2009,April,1.379
Kagera,rainfall,2010,April,5.85
Kagera,rainfall,2011,April,5.909
Kagera,rainfall,2012,April,3.387
Kagera,rainfall,2013,April,1.101
Kagera,rainfall,2014,April,16.452
Kagera,rainfall,2015,April,6.38
Kagera,rainfall,2016,April,17.529
Kagera,rainfall,2017,April,2.328
Kagera,rainfall,2018,April,6.223
Kagera,rainfall,2019,April,4.817
Kagera,rainfall,2020,April,3.171
Kagera,rainfall,2021,April,0.231
Kagera,rainfall,2022,April,2.527
Kagera,rainfall,2023,April,0.387
Kagera,rainfall,2024,April,2.049
Kagera,rainfall,2025,April,1.292
Kagera,rainfall,2026,April,5.478
Kagera,rainfall,2027,April,5.534
Kagera,rainfall,2028,April,3.172
Kagera,rainfall,2029,April,1.031
Kagera,rainfall,2030,April,15.408
Kagera,rainfall,2031,April,5.974
Kagera,rainfall,2032,April,16.416
Kagera,rainfall,2033,April,2.18
Kagera,rainfall,2034,April,5.827
Kagera,rainfall,2035,April,4.511
Kagera,rainfall,2000,May,
Kagera,rainfall,2001,May,4.482
Kagera,rainfall,2002,May,1.155
Kagera,rainfall,2003,May,9.235
Kagera,rainfall,2004,May,2.86
Kagera,rainfall,2005,May,6.104
Kagera,rainfall,2006,May,3.827
Kagera,rainfall,2007,May,0.49
Kagera,rainfall,2008,May,2.265
Kagera,rainfall,2009,May,3.346
Kagera,rainfall,2010,May,8.852
Kagera,rainfall,2011,May,3.575
Kagera,rainfall,2012,May,3.626
Kagera,rainfall,2013,May,5.533
Kagera,rainfall,2014,May,0.46
Kagera,rainfall,2015,May,1.836
Kagera,rainfall,2016,May,3.718
Kagera,rainfall,2017,May,4.094
Kagera,rainfall,2018,May,3.795
Kagera,rainfall,2019,May,3.278
Kagera,rainfall,2020,May,2.78
Kagera,rainfall,2021,May,5.933
Kagera,rainfall,2022,May,3.72
Kagera,rainfall,2023,May,0.476
Kagera,rainfall,2024,May,2.202
Kagera,rainfall,2025,May,3.252
Kagera,rainfall,2026,May,8.604
Kagera,rainfall,2027,May,3.475
Kagera,rainfall,2028,May,3.524
Kagera,rainfall,2029,May,5.378
Kagera,rainfall,2030,May,0.447
Kagera,rainfall,2031,May,1.784
Kagera,rainfall,2032,May,3.614
Kagera,rainfall,2033,May,3.98
Kagera,rainfall,2034,May,3.689
Kagera,rainfall,2035,May,3.186
Kagera,rainfall,2000,June,
Kagera,rainfall,2001,June,0.254
Kagera,rainfall,2002,June,0.02
Kagera,rainfall,2003,June,2.262
Kagera,rainfall,2004,June,0.454
Kagera,rainfall,2005,June,0.277
Kagera,rainfall,2006,June,0.022
Kagera,rainfall,2007,June,5.142
Kagera,rainfall,2008,June,1.524
Kagera,rainfall,2009,June,2.944
Kagera,rainfall,2010,June,0.263
Kagera,rainfall,2011,June,0.109
Kagera,rainfall,2012,June,0.197
Kagera,rainfall,2013,June,0.934
Kagera,rainfall,2014,June,0.388
Kagera,rainfall,2015,June,1.935
Kagera,rainfall,2016,June,0.175
Kagera,rainfall,2017,June,0.12
Kagera,rainfall,2018,June,0.19
Kagera,rainfall,2019,June,4.417
Kagera,rainfall,2020,June,0.486
Kagera,rainfall,2021,June,0.297
Kagera,rainfall,2022,June,0.023
Kagera,rainfall,2023,June,5.512
Kagera,rainfall,2024,June,1.633
Kagera,rainfall,2025,June,3.156
Kagera,rainfall,2026,June,0.281
Kagera,rainfall,2027,June,0.116
Kagera,rainfall,2028,June,0.211
Kagera,rainfall,2029,June,1.001
Kagera,rainfall,2030,June,0.416
Kagera,rainfall,2031,June,2.074
Kagera,rainfall,2032,June,0.187
Kagera,rainfall,2033,June,0.129
Kagera,rainfall,2034,June,0.204
Kagera,rainfall,2035,June,4.735
Kagera,rainfall,2000,July,
Kagera,rainfall,2001,July,0.092
Kagera,rainfall,2002,July,0.045
Kagera,rainfall,2003,July,0.19
Kagera,rainfall,2004,July,0.107
Kagera,rainfall,2005,July,0.4
Kagera,rainfall,2006,July,0.055
Kagera,rainfall,2007,July,0.75
Kagera,rainfall,2008,July,0.034
Kagera,rainfall,2009,July,0.17
Kagera,rainfall,2010,July,0.153
Kagera,rainfall,2011,July,0.14
Kagera,rainfall,2012,July,0.142
Kagera,rainfall,2013,July,0.255
Kagera,rainfall,2014,July,0.138
Kagera,rainfall,2015,July,0.536
Kagera,rainfall,2016,July,0.331
Kagera,rainfall,2017,July,0.021
Kagera,rainfall,2018,July,0.064
Kagera,rainfall,2019,July,0.167
Kagera,rainfall,2020,July,0.209
Kagera,rainfall,2021,July,0.776
Kagera,rainfall,2022,July,0.106
Kagera,rainfall,2023,July,1.455
Kagera,rainfall,2024,July,0.066
Kagera,rainfall,2025,July,0.329
Kagera,rainfall,2026,July,0.297
Kagera,rainfall,2027,July,0.272
Kagera,rainfall,2028,July,0.276
Kagera,rainfall,2029,July,0.494
Kagera,rainfall,2030,July,0.267
Kagera,rainfall,2031,July,1.041
Kagera,rainfall,2032,July,0.642
Kagera,rainfall,2033,July,0.042
Kagera,rainfall,2034,July,0.124
Kagera,rainfall,2035,July,0.324
Kagera,rainfall,2000,Aug.,
Kagera,rainfall,2001,Aug.,0.088
Kagera,rainfall,2002,Aug.,1.06
Kagera,rainfall,2003,Aug.,0.234
Kagera,rainfall,2004,Aug.,1.097
Kagera,rainfall,2005,Aug.,0.085
Kagera,rainfall,2006,Aug.,0.331
Kagera,rainfall,2007,Aug.,0.214
Kagera,rainfall,2008,Aug.,0.579
Kagera,rainfall,2009,Aug.,0.103
Kagera,rainfall,2010,Aug.,0.2
Kagera,rainfall,2011,Aug.,0.21
Kagera,rainfall,2012,Aug.,0.143
Kagera,rainfall,2013,Aug.,0.226
Kagera,rainfall,2014,Aug.,0.192
Kagera,rainfall,2015,Aug.,0.282
Kagera,rainfall,2016,Aug.,0.219
Kagera,rainfall,2017,Aug.,1.112
Kagera,rainfall,2018,Aug.,1.323
Kagera,rainfall,2019,Aug.,1.109
Kagera,rainfall,2020,Aug.,1.634
Kagera,rainfall,2021,Aug.,0.127
Kagera,rainfall,2022,Aug.,0.493
Kagera,rainfall,2023,Aug.,0.319
Kagera,rainfall,2024,Aug.,0.862
Kagera,rainfall,2025,Aug.,0.153
Kagera,rainfall,2026,Aug.,0.298
Kagera,rainfall,2027,Aug.,0.312
Kagera,rainfall,2028,Aug.,0.214
Kagera,rainfall,2029,Aug.,0.337
Kagera,rainfall,2030,Aug.,0.285
Kagera,rainfall,2031,Aug.,0.42
Kagera,rainfall,2032,Aug.,0.326
Kagera,rainfall,2033,Aug.,1.655
Kagera,rainfall,2034,Aug.,1.97
Kagera,rainfall,2035,Aug.,1.651
Kagera,rainfall,2000,Sept.,3.584
Kagera,rainfall,2001,Sept.,0.72
Kagera,rainfall,2002,Sept.,1.034
Kagera,rainfall,2003,Sept.,1.375
Kagera,rainfall,2004,Sept.,1.846
Kagera,rainfall,2005,Sept.,0.158
Kagera,rainfall,2006,Sept.,0.492
Kagera,rainfall,2007,Sept.,3.975
Kagera,rainfall,2008,Sept.,1.664
Kagera,rainfall,2009,Sept.,0.849
Kagera,rainfall,2010,Sept.,0.333
Kagera,rainfall,2011,Sept.,3.993
Kagera,rainfall,2012,Sept.,1.365
Kagera,rainfall,2013,Sept.,5.266
Kagera,rainfall,2014,Sept.,1.875
Kagera,rainfall,2015,Sept.,2.405
Kagera,rainfall,2016,Sept.,0.177
Kagera,rainfall,2017,Sept.,1.69
Kagera,rainfall,2018,Sept.,0.081
Kagera,rainfall,2019,Sept.,3.146
Kagera,rainfall,2020,Sept.,2.253
Kagera,rainfall,2021,Sept.,0.192
Kagera,rainfall,2022,Sept.,0.601
Kagera,rainfall,2023,Sept.,4.851
Kagera,rainfall,2024,Sept.,2.031
Kagera,rainfall,2025,Sept.,1.036
Kagera,rainfall,2026,Sept.,0.407
Kagera,rainfall,2027,Sept.,4.874
Kagera,rainfall,2028,Sept.,1.666
Kagera,rainfall,2029,Sept.,6.427
Kagera,rainfall,2030,Sept.,2.288
Kagera,rainfall,2031,Sept.,2.935
Kagera,rainfall,2032,Sept.,0.216
Kagera,rainfall,2033,Sept.,2.062
Kagera,rainfall,2034,Sept.,0.099
Kagera,rainfall,2035,Sept.,3.839
Kagera,rainfall,2000,Oct.,1.646
Kagera,rainfall,2001,Oct.,0.524
Kagera,rainfall,2002,Oct.,3.32
Kagera,rainfall,2003,Oct.,1.329
Kagera,rainfall,2004,Oct.,1.445
Kagera,rainfall,2005,Oct.,0.43
Kagera,rainfall,2006,Oct.,2.309
Kagera,rainfall,2007,Oct.,6.146
Kagera,rainfall,2008,Oct.,0.696
Kagera,rainfall,2009,Oct.,1.358
Kagera,rainfall,2010,Oct.,0.311
Kagera,rainfall,2011,Oct.,4.344
Kagera,rainfall,2012,Oct.,0.802
Kagera,rainfall,2013,Oct.,1.495
Kagera,rainfall,2014,Oct.,3.257
Kagera,rainfall,2015,Oct.,3.041
Kagera,rainfall,2016,Oct.,7.912
Kagera,rainfall,2017,Oct.,0.899
Kagera,rainfall,2018,Oct.,0.167
Kagera,rainfall,2019,Oct.,1.31
Kagera,rainfall,2020,Oct.,1.519
Kagera,rainfall,2021,Oct.,0.452
Kagera,rainfall,2022,Oct.,2.427
Kagera,rainfall,2023,Oct.,6.46
Kagera,rainfall,2024,Oct.,0.732
Kagera,rainfall,2025,Oct.,1.428
Kagera,rainfall,2026,Oct.,0.327
Kagera,rainfall,2027,Oct.,4.566
Kagera,rainfall,2028,Oct.,0.843
Kagera,rainfall,2029,Oct.,1.572
Kagera,rainfall,2030,Oct.,3.423
Kagera,rainfall,2031,Oct.,3.196
Kagera,rainfall,2032,Oct.,8.315
Kagera,rainfall,2033,Oct.,0.945
Kagera,rainfall,2034,Oct.,0.175
Kagera,rainfall,2035,Oct.,1.377
Kagera,rainfall,2000,Nov.,1.415
Kagera,rainfall,2001,Nov.,2.974
Kagera,rainfall,2002,Nov.,2.322
Kagera,rainfall,2003,Nov.,5.169
Kagera,rainfall,2004,Nov.,2.859
Kagera,rainfall,2005,Nov.,2.133
Kagera,rainfall,2006,Nov.,10.331
Kagera,rainfall,2007,Nov.,2.364
Kagera,rainfall,2008,Nov.,2.009
Kagera,rainfall,2009,Nov.,5.497
Kagera,rainfall,2010,Nov.,1.943
Kagera,rainfall,2011,Nov.,0.841
Kagera,rainfall,2012,Nov.,8.968
Kagera,rainfall,2013,Nov.,2.763
Kagera,rainfall,2014,Nov.,0.953
Kagera,rainfall,2015,Nov.,2.653
Kagera,rainfall,2016,Nov.,8.806
Kagera,rainfall,2017,Nov.,0.179
Kagera,rainfall,2018,Nov.,3.875
Kagera,rainfall,2019,Nov.,2.003
Kagera,rainfall,2020,Nov.,2.941
Kagera,rainfall,2021,Nov.,2.195
Kagera,rainfall,2022,Nov.,10.631
Kagera,rainfall,2023,Nov.,2.432
Kagera,rainfall,2024,Nov.,2.067
Kagera,rainfall,2025,Nov.,5.656
Kagera,rainfall,2026,Nov.,1.999
Kagera,rainfall,2027,Nov.,0.865
Kagera,rainfall,2028,Nov.,9.228
Kagera,rainfall,2029,Nov.,2.843
Kagera,rainfall,2030,Nov.,0.98
Kagera,rainfall,2031,Nov.,2.729
Kagera,rainfall,2032,Nov.,9.062
Kagera,rainfall,2033,Nov.,0.184
Kagera,rainfall,2034,Nov.,3.988
Kagera,rainfall,2035,Nov.,2.062
Kagera,rainfall,2000,Dec.,0.123
Kagera,rainfall,2001,Dec.,4.383
Kagera,rainfall,2002,Dec.,0.375
Kagera,rainfall,2003,Dec.,1.98
Kagera,rainfall,2004,Dec.,1.99
Kagera,rainfall,2005,Dec.,1.753
Kagera,rainfall,2006,Dec.,1.976
Kagera,rainfall,2007,Dec.,0.908
Kagera,rainfall,2008,Dec.,0.393
Kagera,rainfall,2009,Dec.,2.267
Kagera,rainfall,2010,Dec.,1.686
Kagera,rainfall,2011,Dec.,1.613
Kagera,rainfall,2012,Dec.,0.383
Kagera,rainfall,2013,Dec.,1.066
Kagera,rainfall,2014,Dec.,2.913
Kagera,rainfall,2015,Dec.,0.973
Kagera,rainfall,2016,Dec.,0.385
Kagera,rainfall,2017,Dec.,0.405
Kagera,rainfall,2018,Dec.,2.37
Kagera,rainfall,2019,Dec.,2.945
Kagera,rainfall,2020,Dec.,2.122
Kagera,rainfall,2021,Dec.,1.87
Kagera,rainfall,2022,Dec.,2.107
Kagera,rainfall,2023,Dec.,0.968
Kagera,rainfall,2024,Dec.,0.42
Kagera,rainfall,2025,Dec.,2.417
Kagera,rainfall,2026,Dec.,1.799
Kagera,rainfall,2027,Dec.,1.721
Kagera,rainfall,2028,Dec.,0.408
Kagera,rainfall,2029,Dec.,1.137
Kagera,rainfall,2030,Dec.,3.107
Kagera,rainfall,2031,Dec.,1.038
Kagera,rainfall,2032,Dec.,0.411
Kagera,rainfall,2033,Dec.,0.432
Kagera,rainfall,2034,Dec.,2.528
Kagera,rainfall,2035,Dec.,3.14
Lake Victoria,rainfall,2000,Jan.,
Lake Victoria,rainfall,2001,Jan.,5.157
Lake Victoria,rainfall,2002,Jan.,3.202
Lake Victoria,rainfall,2003,Jan.,6.092
Lake Victoria,rainfall,2004,Jan.,1.413
Lake Victoria,rainfall,2005,Jan.,0.166
Lake Victoria,rainfall,2006,Jan.,0.715
Lake Victoria,rainfall,2007,Jan.,1.967
Lake Victoria,rainfall,2008,Jan.,0.509
Lake Victoria,rainfall,2009,Jan.,1.166
Lake Victoria,rainfall,2010,Jan.,15.081
Lake Victoria,rainfall,2011,Jan.,2.047
Lake Victoria,rainfall,2012,Jan.,0.23
Lake Victoria,rainfall,2013,Jan.,0.632
Lake Victoria,rainfall,2014,Jan.,7.851
Lake Victoria,rainfall,2015,Jan.,1.855
Lake Victoria,rainfall,2016,Jan.,0.221
Lake Victoria,rainfall,2017,Jan.,6.04
Lake Victoria,rainfall,2018,Jan.,4.783
Lake Victoria,rainfall,2019,Jan.,1.223
Lake Victoria,rainfall,2020,Jan.,1.765
Lake Victoria,rainfall,2021,Jan.,0.208
Lake Victoria,rainfall,2022,Jan.,0.894
Lake Victoria,rainfall,2023,Jan.,2.457
Lake Victoria,rainfall,2024,Jan.,0.636
Lake Victoria,rainfall,2025,Jan.,1.456
Lake Victoria,rainfall,2026,Jan.,18.836
Lake Victoria,rainfall,2027,Jan.,2.557
Lake Victoria,rainfall,2028,Jan.,0.287
Lake Victoria,rainfall,2029,Jan.,0.789
Lake Victoria,rainfall,2030,Jan.,9.806
Lake Victoria,rainfall,2031,Jan.,2.317
Lake Victoria,rainfall,2032,Jan.,0.276
Lake Victoria,rainfall,2033,Jan.,7.544
Lake Victoria,rainfall,2034,Jan.,5.975
Lake Victoria,rainfall,2035,Jan.,1.527
Lake Victoria,rainfall,2000,Feb.,
Lake Victoria,rainfall,2001,Feb.,0.185
Lake Victoria,rainfall,2002,Feb.,0.155
Lake Victoria,rainfall,2003,Feb.,0.124
Lake Victoria,rainfall,2004,Feb.,6.107
Lake Victoria,rainfall,2005,Feb.,7.219
Lake Victoria,rainfall,2006,Feb.,2.824
Lake Victoria,rainfall,2007,Feb.,3.246
Lake Victoria,rainfall,2008,Feb.,0.634
Lake Victoria,rainfall,2009,Feb.,3.091
Lake Victoria,rainfall,2010,Feb.,0.279
Lake Victoria,rainfall,2011,Feb.,13.321
Lake Victoria,rainfall,2012,Feb.,0.241
Lake Victoria,rainfall,2013,Feb.,20.059
Lake Victoria,rainfall,2014,Feb.,1.805
Lake Victoria,rainfall,2015,Feb.,0.264
Lake Victoria,rainfall,2016,Feb.,0.855
Lake Victoria,rainfall,2017,Feb.,5.101
Lake Victoria,rainfall,2018,Feb.,0.244
Lake Victoria,rainfall,2019,Feb.,0.302
Lake Victoria,rainfall,2020,Feb.,6.638
Lake Victoria,rainfall,2021,Feb.,7.847
Lake Victoria,rainfall,2022,Feb.,3.07
Lake Victoria,rainfall,2023,Feb.,3.529
Lake Victoria,rainfall,2024,Feb.,0.689
Lake Victoria,rainfall,2025,Feb.,3.36
Lake Victoria,rainfall,2026,Feb.,0.304
Lake Victoria,rainfall,2027,Feb.,14.479
Lake Victoria,rainfall,2028,Feb.,0.262
Lake Victoria,rainfall,2029,Feb.,21.804
Lake Victoria,rainfall,2030,Feb.,1.962
Lake Victoria,rainfall,2031,Feb.,0.287
Lake Victoria,rainfall,2032,Feb.,0.929
Lake Victoria,rainfall,2033,Feb.,5.544
Lake Victoria,rainfall,2034,Feb.,0.265
Lake Victoria,rainfall,2035,Feb.,0.329
Lake Victoria,rainfall,2000,March,
Lake Victoria,rainfall,2001,March,1.094
Lake Victoria,rainfall,2002,March,5.257
Lake Victoria,rainfall,2003,March,1.886
Lake Victoria,rainfall,2004,March,5.996
Lake Victoria,rainfall,2005,March,2.646
Lake Victoria,rainfall,2006,March,4.714
Lake Victoria,rainfall,2007,March,2.843
Lake Victoria,rainfall,2008,March,1.548
Lake Victoria,rainfall,2009,March,12.229
Lake Victoria,rainfall,2010,March,13.662
Lake Victoria,rainfall,2011,March,0.327
Lake Victoria,rainfall,2012,March,11.011
Lake Victoria,rainfall,2013,March,0.207
Lake Victoria,rainfall,2014,March,0.776
Lake Victoria,rainfall,2015,March,0.485
Lake Victoria,rainfall,2016,March,0.609
Lake Victoria,rainfall,2017,March,8.465
Lake Victoria,rainfall,2018,March,13.828
Lake Victoria,rainfall,2019,March,1.471
Lake Victoria,rainfall,2020,March,6.881
Lake Victoria,rainfall,2021,March,3.037
Lake Victoria,rainfall,2022,March,5.409
Lake Victoria,rainfall,2023,March,3.263
Lake Victoria,rainfall,2024,March,1.777
Lake Victoria,rainfall,2025,March,14.032
Lake Victoria,rainfall,2026,March,15.677
Lake Victoria,rainfall,2027,March,0.376
Lake Victoria,rainfall,2028,March,12.635
Lake Victoria,rainfall,2029,March,0.237
Lake Victoria,rainfall,2030,March,0.89
Lake Victoria,rainfall,2031,March,0.557
Lake Victoria,rainfall,2032,March,0.699
Lake Victoria,rainfall,2033,March,9.713
Lake Victoria,rainfall,2034,March,15.867
Lake Victoria,rainfall,2035,March,1.688
Lake Victoria,rainfall,2000,April,
Lake Victoria,rainfall,2001,April,6.969
Lake Victoria,rainfall,2002,April,12.94
Lake Victoria,rainfall,2003,April,2.304
Lake Victoria,rainfall,2004,April,3.856
Lake Victoria,rainfall,2005,April,0.284
Lake Victoria,rainfall,2006,April,5.523
Lake Victoria,rainfall,2007,April,0.528
Lake Victoria,rainfall,2008,April,0.436
Lake Victoria,rainfall,2009,April,9.067
Lake Victoria,rainfall,2010,April,11.599
Lake Victoria,rainfall,2011,April,7.266
Lake Victoria,rainfall,2012,April,9.41
Lake Victoria,rainfall,2013,April,6.945
Lake Victoria,rainfall,2014,April,12.133
Lake Victoria,rainfall,2015,April,10.113
Lake Victoria,rainfall,2016,April,22.771
Lake Victoria,rainfall,2017,April,2.008
Lake Victoria,rainfall,2018,April,5.8
Lake Victoria,rainfall,2019,April,3.134
Lake Victoria,rainfall,2020,April,3.81
Lake Victoria,rainfall,2021,April,0.281
Lake Victoria,rainfall,2022,April,5.457
Lake Victoria,rainfall,2023,April,0.522
Lake Victoria,rainfall,2024,April,0.431
Lake Victoria,rainfall,2025,April,8.958
Lake Victoria,rainfall,2026,April,11.46
Lake Victoria,rainfall,2027,April,7.179
Lake Victoria,rainfall,2028,April,9.297
Lake Victoria,rainfall,2029,April,6.861
Lake Victoria,rainfall,2030,April,11.987
Lake Victoria,rainfall,2031,April,9.991
Lake Victoria,rainfall,2032,April,22.497
Lake Victoria,rainfall,2033,April,1.984
Lake Victoria,rainfall,2034,April,5.73
Lake Victoria,rainfall,2035,April,3.096
Lake Victoria,rainfall,2000,May,
Lake Victoria,rainfall,2001,May,6.494
Lake Victoria,rainfall,2002,May,6.173
Lake Victoria,rainfall,2003,May,17.843
Lake Victoria,rainfall,2004,May,14.348
Lake Victoria,rainfall,2005,May,11.189
Lake Victoria,rainfall,2006,May,7.193
Lake Victoria,rainfall,2007,May,4.509
Lake Victoria,rainfall,2008,May,4.913
Lake Victoria,rainfall,2009,May,18.085
Lake Victoria,rainfall,2010,May,10.518
Lake Victoria,rainfall,2011,May,10.1
Lake Victoria,rainfall,2012,May,8.065
Lake Victoria,rainfall,2013,May,10.836
Lake Victoria,rainfall,2014,May,3.809
Lake Victoria,rainfall,2015,May,6.286
Lake Victoria,rainfall,2016,May,11.018
Lake Victoria,rainfall,2017,May,14.321
Lake Victoria,rainfall,2018,May,11.101
Lake Victoria,rainfall,2019,May,1.092
Lake Victoria,rainfall,2020,May,13.832
Lake Victoria,rainfall,2021,May,10.786
Lake Victoria,rainfall,2022,May,6.934
Lake Victoria,rainfall,2023,May,4.346
Lake Victoria,rainfall,2024,May,4.736
Lake Victoria,rainfall,2025,May,17.434
Lake Victoria,rainfall,2026,May,10.14
Lake Victoria,rainfall,2027,May,9.737
Lake Victoria,rainfall,2028,May,7.775
Lake Victoria,rainfall,2029,May,10.446
Lake Victoria,rainfall,2030,May,3.672
Lake Victoria,rainfall,2031,May,6.059
Lake Victoria,rainfall,2032,May,10.621
Lake Victoria,rainfall,2033,May,13.805
Lake Victoria,rainfall,2034,May,10.701
Lake Victoria,rainfall,2035,May,1.053
Lake Victoria,rainfall,2000,June,
Lake Victoria,rainfall,2001,June,2.879
Lake Victoria,rainfall,2002,June,1.082
Lake Victoria,rainfall,2003,June,6.615
Lake Victoria,rainfall,2004,June,0.275
Lake Victoria,rainfall,2005,June,0.414
Lake Victoria,rainfall,2006,June,2.054
Lake Victoria,rainfall,2007,June,13.67
Lake Victoria,rainfall,2008,June,2.98
Lake Victoria,rainfall,2009,June,6.643
Lake Victoria,rainfall,2010,June,1.012
Lake Victoria,rainfall,2011,June,2.128
Lake Victoria,rainfall,2012,June,1.892
Lake Victoria,rainfall,2013,June,1.238
Lake Victoria,rainfall,2014,June,1.837
Lake Victoria,rainfall,2015,June,9.752
Lake Victoria,rainfall,2016,June,0.513
Lake Victoria,rainfall,2017,June,1.836
Lake Victoria,rainfall,2018,June,2.739
Lake Victoria,rainfall,2019,June,5.615
Lake Victoria,rainfall,2020,June,0.3
Lake Victoria,rainfall,2021,June,0.452
Lake Victoria,rainfall,2022,June,2.24
Lake Victoria,rainfall,2023,June,14.907
Lake Victoria,rainfall,2024,June,3.25
Lake Victoria,rainfall,2025,June,7.244
Lake Victoria,rainfall,2026,June,1.104
Lake Victoria,rainfall,2027,June,2.32
Lake Victoria,rainfall,2028,June,2.064
Lake Victoria,rainfall,2029,June,1.35
Lake Victoria,rainfall,2030,June,2.003
Lake Victoria,rainfall,2031,June,10.634
Lake Victoria,rainfall,2032,June,0.559
Lake Victoria,rainfall,2033,June,2.002
Lake Victoria,rainfall,2034,June,2.987
Lake Victoria,rainfall,2035,June,6.124
Lake Victoria,rainfall,2000,July,
Lake Victoria,rainfall,2001,July,2.088
Lake Victoria,rainfall,2002,July,0.412
Lake Victoria,rainfall,2003,July,3.155
